question,document
Can I still join the course if I found it late?,74eb249bbf
"If I start now, will I still be able to get a certificate?",74eb249bbf
What do I need to do to qualify for the certificate after joining late?,74eb249bbf
Is it okay to join the course after it has already started?,74eb249bbf
Do I have to submit the project before submissions close to get certified?,74eb249bbf
"I registered for LLM Zoomcamp, but I never got any confirmation email — should I be worried or wait for one?",977bf7786c
Do I need to get an acceptance or confirmation message before I can start the course and submit homework?,977bf7786c
"If I didn’t sign up through the registration form, can I still begin the course and turn in assignments while submissions are open?",977bf7786c
"Is there actually a list of registered students that homework is checked against, or is registration just for something else?",977bf7786c
What is the purpose of the course registration if it doesn’t seem required to join or submit homework?,977bf7786c
How do students join the Office Hours or live workshop sessions if they don’t get the Zoom link?,489dd1c9d9
Where is the live stream link for Office Hours usually posted before the session starts?,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where do I find it?",489dd1c9d9
"If I want to ask questions during the live session, should I use chat or Slido?",489dd1c9d9
Why is the Zoom link for Office Hours not shared with students directly?,489dd1c9d9
Where should I begin if I want to follow LLM Zoomcamp the right way?,04919992b3
"What’s the usual weekly routine for this course, from videos to homework submission?",04919992b3
"Do I have to start the course at a specific time, or can I begin whenever I want?",04919992b3
"What should I read first: the docs, the GitHub repo, or the course platform?",04919992b3
How do the lesson exercises and homework usually differ in LLM Zoomcamp?,04919992b3
How do I find my own entry on the leaderboard if I can't spot my name there?,c2903069a0
What do I need to click to see my display name in the course profile?,c2903069a0
"Why am I shown a random name on the leaderboard, and can I change it?",c2903069a0
Which name should I put in the profile if I want a different nickname instead of the default one?,c2903069a0
What should I update in my profile so my certificate shows my real official name?,c2903069a0
Can I take the course at my own pace and still earn a certificate?,69d122f12e
Is there any way to get a certificate if I don't join a live cohort?,69d122f12e
Do you give certificates for the self-paced version of the course?,69d122f12e
Why can't I receive a certificate after finishing the course on my own?,69d122f12e
Do I need to do peer reviews to be eligible for the certificate?,69d122f12e
"Do I still qualify for the certificate if I skipped the first homework, or do I need to make it up?",9f689c185f
"Is passing the Capstone project enough to get the course certificate, even if I miss some homework?",9f689c185f
"Are homework assignments required for certification in this course, or are they just optional practice?",9f689c185f
"If homework isn't mandatory, does it still affect anything important like my ranking or score?",9f689c185f
What’s the minimum requirement to receive the certificate in llm-zoomcamp?,9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready?,96286b4be4
Is it safe to start working on homework while it still looks like a draft?,96286b4be4
Can homework still be updated even after the form is open?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know when llm-zoomcamp will be offered again?,bd31146b0e
What’s the next scheduled offering for this course?,bd31146b0e
When should I expect the next cohort of the course to start?,bd31146b0e
Is there a date for the next course run?,bd31146b0e
Where can I find the course lectures or videos for this class?,31456f4b5f
Is there a main place I should check first for the LLM Zoomcamp lessons?,31456f4b5f
How do I get to the videos for each lesson in the repo?,31456f4b5f
Why does everyone say to use the GitHub repo instead of just the YouTube playlist?,31456f4b5f
"If I want the latest lesson videos, where should I look?",31456f4b5f
"How do I keep track of the LLM Zoomcamp syllabus, homework deadlines, and my progress?",20c5a1347e
Is there a place for seeing the current LLM Zoomcamp cohort structure and assignments?,20c5a1347e
What platform should I use to follow the course schedule and homework for LLM Zoomcamp?,20c5a1347e
Where can I find the LLM Zoomcamp deadlines and progress tracker in one place?,20c5a1347e
Does LLM Zoomcamp use the same course management system as the other DataTalks.Club Zoomcamps?,20c5a1347e
"Does LLM Zoomcamp have live sessions or office hours for every module, or is everything mainly pre-recorded?",d65e05bd7a
"If I get stuck on a module, what’s the best place to ask for help—Slack or somewhere else?",d65e05bd7a
"Are live sessions in the course scheduled regularly, or do they only happen when the team announces them?",d65e05bd7a
"Is there any optional paid support with Zoom office hours for LLM Zoomcamp, and how does it work?",d65e05bd7a
Where can I find the module materials if there aren’t separate live classes each week?,d65e05bd7a
Can I count my Bluesky posts for the learning in public credits in this course?,dbf5369006
Does posting on Bluesky qualify for the public learning credit requirement?,dbf5369006
Are Bluesky updates accepted as learning in public evidence for course credits?,dbf5369006
"If I share my progress on Bluesky, will that be enough for learning in public credits?",dbf5369006
Is Bluesky one of the platforms I can use to earn learning in public credits?,dbf5369006
Where can I find the Telegram channel for LLM Zoomcamp?,054f3fd58f
What’s the Telegram link for the LLM Zoomcamp course?,054f3fd58f
Is there a Telegram group or channel for LLM Zoomcamp announcements?,054f3fd58f
Where should I join to get LLM Zoomcamp updates on Telegram?,054f3fd58f
"What’s the official Telegram channel for LLM Zoomcamp, and is it only for announcements?",054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the course videos?,e2d595f23c
Is it normal if the live FAQ data count doesn’t match the number in the recordings?,e2d595f23c
The FAQ dataset changed from the video demo — did I do something wrong?,e2d595f23c
Why are there extra or missing questions in the FAQ data compared to the lecture?,e2d595f23c
How can the FAQ dataset be different now if the videos were recorded in May 2026?,e2d595f23c
"The homework deadline already passed, but the form still lets me submit — does that mean my work is still accepted?",a9353fadfe
Can I turn in homework after the deadline if the submission page hasn’t been closed yet?,a9353fadfe
"I missed the listed deadline, but the submission form is still open. Should I still send my answers?",a9353fadfe
Does the deadline matter if the homework form is still available for submissions?,a9353fadfe
At what point is homework submission actually no longer possible — after the deadline or only after the form closes?,a9353fadfe
Can I still turn in homework after the deadline if the submission form is open?,cdc3b285e5
Do you ever give deadline extensions for homework in this course?,cdc3b285e5
"What happens if I miss a homework assignment, will it stop me from getting the certificate?",cdc3b285e5
Are late homework submissions accepted once the form is closed?,cdc3b285e5
"Do homework scores matter for the certificate, or are they only used for the leaderboard?",cdc3b285e5
"If I enter my real name in the certificate field, does it get shown on the public leaderboard or shared with anyone else?",651ba06b34
"What name do other people see on the course leaderboard, and is it different from the name printed on my certificate?",651ba06b34
Can I keep my real name private on the leaderboard but still have it on the certificate?,651ba06b34
"In the course profile, which field is for the public nickname and which one is for the official certificate name?",651ba06b34
"Does the certificate name ever get published online, or is it only used on the certificate itself?",651ba06b34
Why don't we use LangChain in this course if it already helps build LLM apps?,b7cdde6b25
"What’s the reason for building retrieval, indexing, and prompting from scratch before any framework?",b7cdde6b25
Is there a specific benefit to learning the core RAG pieces before using LangChain?,b7cdde6b25
Wouldn’t it be easier to just use a framework like LangChain instead of implementing the basics ourselves?,b7cdde6b25
