question,answer_agent,answer_orig,tool_calls,cost,document
Can I still join the course if I found it late?,"Yes — you can still join if you discovered the course late.

If you want a certificate, make sure you submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late join course found it late can I still join""}'}]",0.0009000,74eb249bbf
"If I start now, will I still be able to get a certificate?","Yes — you can still join now, but to get a certificate you must submit your project while the course is still accepting submissions, and you need to complete the Capstone project.

A couple of important notes:
- Homework is **not mandatory** for the certificate.
- Certificates are only awarded for the **live cohort**, not self-paced study.
- You must also be able to do the required **peer reviews** during the live run.

If you want, I can also tell you what the minimum requirements are to qualify for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate start now still able to get a certificate deadline requirements""}'}]",0.00130275,74eb249bbf
What do I need to do to qualify for the certificate after joining late?,"If you joined late, you can still take the course, but to qualify for the certificate you need to:

- **Submit your project while submissions are still open**
- **Be part of the live cohort** — certificates are **not** awarded for self-paced completion
- **Complete the capstone/project** and, since the course is live, **peer-review 3 capstone projects** after submitting yours

Also, **missing homework does not prevent you from getting the certificate**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late join certificate qualify requirements attendance assignments FAQ""}'}]",0.00121425,74eb249bbf
Is it okay to join the course after it has already started?,"Yes — you can join the course after it has already started.

The FAQ says: “I just discovered the course. Can I still join?” → **Yes**.  
If you want a certificate, make sure you **submit your project while submissions are still open**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join course after started late enrollment after course begins""}'}]",0.0011385,74eb249bbf
Do I have to submit the project before submissions close to get certified?,"Yes. To get certified, you need to submit your project while submissions are still open.

If the submission form has already closed, you won’t be able to submit, and late submissions aren’t accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certified project submission deadline before submissions close""}'}]",0.0008955,74eb249bbf
"I registered for LLM Zoomcamp, but I never got any confirmation email — should I be worried or wait for one?","No need to worry — for LLM Zoomcamp, the confirmation email is not required. The FAQ says:

- **You’re accepted**
- You can **start learning and submitting homework**
- Registration is mainly **to gauge interest**
- The form is **not checked against a registered list**

So if you haven’t received a confirmation email, you can still proceed normally.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp registration confirmation email never got confirmation email should I wait worried""}'}]",0.00135975,977bf7786c
Do I need to get an acceptance or confirmation message before I can start the course and submit homework?,"No — you don’t need to wait for an acceptance or confirmation email.

According to the FAQ, you’re already accepted, and you can start learning and submit homework as long as the submission form is open. Registration is only used to gauge interest, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""acceptance confirmation message before start course submit homework""}'}]",0.00121125,977bf7786c
"If I didn’t sign up through the registration form, can I still begin the course and turn in assignments while submissions are open?","Yes — you can start the course and submit assignments even if you didn’t register through the form, as long as the submission form is still open.

Registration is just to gauge interest and isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""not signed up through registration form start course submit assignments while submissions are open""}'}]",0.00110025,977bf7786c
"Is there actually a list of registered students that homework is checked against, or is registration just for something else?","No — homework is **not** checked against a registered-students list.

Registration is mainly **for gauging interest before the start date**. You can still start learning and submit homework while the form is open even if you didn’t register.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registered students homework checked against registration list""}'}]",0.001071,977bf7786c
What is the purpose of the course registration if it doesn’t seem required to join or submit homework?,"Registration is mainly **just to gauge interest before the course starts**. It’s **not used to verify access** or check whether you can join or submit homework.

So in practice:
- You can **start learning and submit homework without registering**
- The registration itself is **not required**
- It helps the course team estimate how many people are interested

If you want, I can also explain how certificates, homework, and the capstone project relate to registration.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""purpose of course registration not required to join submit homework""}'}]",0.00120525,977bf7786c
How do students join the Office Hours or live workshop sessions if they don’t get the Zoom link?,"Students don’t get the Zoom link directly. For Office Hours or live/workshop sessions:

- **Watch on YouTube Live** via the DataTalksClub YouTube channel.
- **Check the announcements channel on Telegram and Slack** for the video link before it starts.
- **Submit questions in Slido** during the live session; the Slido link is pinned in the chat.

The Zoom link itself is only shared with instructors, presenters, and TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""students join Office Hours live workshop sessions don\'t get Zoom link""}'}]",0.00136875,489dd1c9d9
Where is the live stream link for Office Hours usually posted before the session starts?,"The live stream link for Office Hours is usually posted in the **announcements channel on Telegram and Slack** before the session starts.

You can also watch it live on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live stream link Office Hours usually posted before the session starts where posted""}'}]",0.0011730,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where do I find it?","Yes — students watch the live workshop on **YouTube Live**, not Zoom.

Where to find it:
- The **video URL is posted in the announcements channel on Telegram and Slack** before the session starts.
- You can also watch it on the **DataTalksClub YouTube channel**: https://www.youtube.com/c/DataTalksClub

For questions during the live session, use **Slido** rather than chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""watch workshop live on YouTube instead of Zoom where do I find it""}'}]",0.00146325,489dd1c9d9
"If I want to ask questions during the live session, should I use chat or Slido?","Use **Slido**, not chat.  
For live/workshop sessions, students should submit questions via **Slido** (the link is usually pinned in the live chat), and questions in chat may be missed if the session is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live session ask questions chat Slido""}'}]",0.0014880,489dd1c9d9
Why is the Zoom link for Office Hours not shared with students directly?,"The Zoom link is not shared directly with students because it’s only published to instructors, presenters, and TAs.

Students are expected to join via YouTube Live instead, and ask questions through Slido when the session is live. The video URL is typically posted in the announcements channel on Telegram and Slack before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom link Office Hours not shared directly students FAQ""}'}]",0.00119625,489dd1c9d9
Where should I begin if I want to follow LLM Zoomcamp the right way?,"A good way to begin is:

1. Read the **LLM Zoomcamp docs**
2. Check the **general Zoomcamp logistics docs**
3. Open the **LLM Zoomcamp GitHub repository**

A typical workflow is:

- Watch the lesson videos
- Work through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit homework on the course platform before the deadline

You can start anytime, since the materials are available on demand. The current syllabus, deadlines, and progress tracking are on the **course management platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp begin where should I start right way FAQ""}'}]",0.001488,04919992b3
"What’s the usual weekly routine for this course, from videos to homework submission?","A typical weekly routine for this course is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

A couple of helpful notes:
- You can start whenever you want; the materials are already available.
- Deadlines are listed on the course management platform.
- Homework may use a different dataset or slightly different task from the lesson material.

If you want, I can also point you to where the weekly homework links usually live.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""usual weekly routine videos homework submission course weekly routine""}'}]",0.00153225,04919992b3
